Equipment_Weight,Equipment_Value,Base_Transport_Fee,CrossBorder_Shipping,Urgent_Shipping,Installation_Service,Fragile_Equipment,Rural_Hospital,Days_to_Delivery,Order_Month_Num,Order_Weekday,Equipment_Area,Equipment_Type_Brass,Equipment_Type_Bronze,Equipment_Type_Clay,Equipment_Type_Marble,Equipment_Type_Stone,Equipment_Type_Wood,Transport_Method_Roadways,Transport_Method_Waterways,Hospital_Info_Working Class,Order_Year_Num_2016,Order_Year_Num_2017,Order_Year_Num_2018,Order_Year_Num_2019
1110.0,6.52,15.27,1,1,0,0,0,3,4,2,782.0,0,0,0,0,0,1,0,0,0,0,1,0,0
2999.0,6.0,10.77,1,0,1,0,0,4,11,6,120.0,0,1,0,0,0,0,0,1,1,0,1,0,0
562.0,6.06,13.87,0,0,0,1,1,3,4,6,120.0,0,0,1,0,0,0,0,1,1,1,0,0,0
115395.0,1268.35,43.16,1,0,1,0,0,1,3,6,175.0,0,0,0,1,0,0,0,1,0,0,0,1,0
34.0,6.92,10.52,0,1,0,1,0,0,7,3,16.0,0,0,1,0,0,0,1,0,1,0,0,0,0
5046.0,10.31,70.65,0,1,1,0,0,3,1,3,56.0,0,0,0,0,1,0,1,0,0,0,0,0,1
3652.0,6.83,13.29,0,0,0,0,0,4,6,6,114.0,0,0,0,0,0,0,1,0,1,0,1,0,0
587.0,6.92,10.38,1,0,0,1,0,1,4,1,152.0,0,0,1,0,0,0,1,0,0,0,0,0,1
5081960.0,34431.89,79.22,0,0,0,1,0,3,11,2,1036.0,0,0,0,1,0,0,0,0,0,1,0,0,0
62438.0,444.91,63.36,0,1,0,0,0,2,8,3,512.0,1,0,0,0,0,0,1,0,0,0,0,1,0
62.0,5.45,24.14,0,1,1,0,0,3,10,0,9.0,0,0,0,1,0,0,0,0,1,1,0,0,0
1802.0,6.87,18.32,0,1,0,1,0,3,9,1,180.0,0,0,1,0,0,0,0,0,1,0,0,1,0
73.0,4.36,23.15,0,0,0,0,0,4,9,3,105.0,0,0,0,0,0,1,1,0,1,0,0,0,0
5275.0,6.27,70.73,0,1,0,1,0,0,10,5,364.0,0,0,1,0,0,0,1,0,1,0,1,0,0
295.0,3.0,13.51,1,0,0,0,1,2,7,2,220.0,0,0,0,0,0,1,1,0,1,0,0,0,1
57899.0,91.71,84.18,0,0,1,0,0,1,1,5,72.0,0,0,0,0,1,0,0,0,1,0,0,1,0
622.0,3.63,10.06,1,0,0,0,0,2,5,5,152.0,0,0,0,0,0,0,0,0,1,0,0,1,0
7048.0,33.66,95.97,1,0,0,0,1,2,4,5,1064.0,0,0,0,0,0,0,0,0,0,1,0,0,0
457.0,5.93,15.74,0,0,1,0,0,4,7,6,114.0,0,0,0,0,0,0,1,0,1,0,1,0,0
171678.0,178.0,53.23,1,1,1,0,0,3,7,0,312.0,0,0,0,0,0,0,1,0,1,0,0,0,1
1547.0,6.12,17.19,1,0,1,0,0,2,10,2,88.0,0,1,0,0,0,0,0,1,1,0,1,0,0
1665.0,7.05,12.15,0,0,0,0,1,0,8,5,264.0,0,0,0,0,0,0,1,0,1,0,0,0,0
164.0,3.88,23.78,0,0,0,0,0,0,6,5,40.0,0,0,0,0,0,0,1,0,1,0,0,0,1
1005.0,4.22,17.76,0,0,0,0,0,1,7,0,168.0,0,0,0,0,0,0,1,0,1,0,0,1,0
3328.0,5.21,23.34,0,0,0,0,0,1,6,3,168.0,1,0,0,0,0,0,1,0,1,0,0,0,0
18060.0,43.3,32.61,0,1,0,0,0,0,5,2,230.0,1,0,0,0,0,0,0,0,1,0,0,0,1
4207.0,8.45,13.95,1,1,0,1,1,4,8,3,410.0,0,0,1,0,0,0,1,0,0,0,0,1,0
372.0,5.77,24.75,1,0,1,0,0,3,7,4,72.0,0,0,0,0,0,0,0,1,1,0,0,1,0
755.0,5.95,12.16,1,0,0,0,1,2,1,3,156.0,0,0,0,0,0,0,0,1,1,0,0,0,1
3162.0,107.5,27.64,0,0,1,0,0,2,4,4,91.0,0,0,0,0,1,0,1,0,1,0,0,0,1
22277.0,22.71,90.98,0,0,1,0,1,4,10,2,294.0,1,0,0,0,0,0,1,0,1,0,1,0,0
252.0,5.69,13.52,0,0,1,1,1,4,6,6,77.0,0,0,1,0,0,0,1,0,1,0,0,1,0
768.0,4.3,24.85,1,0,1,0,1,4,9,5,170.0,0,0,0,0,0,0,0,1,1,0,0,1,0
24039379.0,51410.27,28.73,1,1,0,0,0,4,6,1,1066.0,0,0,0,0,1,0,1,0,1,0,1,0,0
4175.0,17.67,13.81,0,1,1,1,1,4,8,1,350.0,0,0,1,0,0,0,0,0,1,0,0,1,0
44.0,5.08,13.25,0,0,0,0,0,3,12,6,24.0,0,0,0,0,0,0,0,1,1,0,0,1,0
1007887.0,2528.55,99.26,0,1,1,0,0,4,3,1,300.0,0,0,0,0,1,0,0,0,1,1,0,0,0
30937.0,149.98,33.38,1,1,0,0,0,3,7,6,88.0,0,0,0,1,0,0,1,0,1,0,0,1,0
682.0,3.95,18.68,0,0,0,0,0,0,11,1,50.0,0,1,0,0,0,0,1,0,1,0,0,1,0
220.0,3.89,20.79,0,1,1,0,0,4,1,1,266.0,0,0,0,0,0,1,0,0,0,1,0,0,0
463.0,6.91,21.66,1,0,0,0,0,4,5,0,78.0,0,0,0,0,0,0,1,0,1,1,0,0,0
153774.0,95.59,53.76,1,0,0,0,0,0,6,0,128.0,0,0,0,0,1,0,1,0,1,0,1,0,0
1230732.0,3077.11,70.04,0,0,0,0,0,4,3,5,392.0,0,0,0,0,1,0,1,0,0,1,0,0,0
27779.0,83.42,37.31,0,0,0,1,0,2,4,3,1040.0,0,0,0,0,0,0,1,0,1,1,0,0,0
12634.0,13.72,55.67,0,0,0,0,1,0,8,1,66.0,0,0,0,1,0,0,1,0,1,0,0,0,0
1505.0,5.32,22.1,0,1,0,0,0,0,10,5,105.0,0,1,0,0,0,0,1,0,1,1,0,0,0
4947.0,6.41,12.54,0,0,0,0,0,1,2,4,132.0,1,0,0,0,0,0,1,0,1,0,0,0,0
1529.0,4.08,18.23,0,1,0,0,0,0,1,4,357.0,0,0,0,0,0,0,1,0,1,0,0,0,0
26409.0,29.22,34.14,1,0,0,0,1,2,3,6,380.0,0,0,0,0,0,0,0,1,0,0,0,1,0
1208.0,6.52,22.13,0,1,0,1,1,4,8,1,138.0,0,0,1,0,0,0,1,0,1,0,0,0,0
3162.0,29.96,19.83,1,1,0,0,1,4,2,6,592.0,0,0,0,0,0,0,0,0,0,0,0,1,0
129.0,3.02,18.3,0,0,1,0,1,1,12,6,12.0,1,0,0,0,0,0,1,0,1,0,0,1,0
42.0,6.28,19.31,0,0,0,0,0,4,11,6,9.0,1,0,0,0,0,0,1,0,1,1,0,0,0
226.0,6.7,16.86,1,1,0,0,0,0,3,0,140.0,0,0,0,0,0,1,0,0,1,0,0,1,0
7442.0,15.78,73.06,0,0,1,0,1,2,4,3,230.0,0,1,0,0,0,0,1,0,1,0,1,0,0
3162.0,5.13,19.73,0,0,0,0,0,1,6,6,429.0,0,0,0,0,0,0,1,0,1,1,0,0,0
5389.0,4.53,60.43,0,1,1,0,0,1,6,2,128.0,1,0,0,0,0,0,0,0,1,0,1,0,0
1852.0,5.69,14.83,1,1,1,1,0,0,6,4,225.0,0,0,1,0,0,0,1,0,1,0,1,0,0
382.0,5.38,15.69,0,1,0,0,0,4,4,1,36.0,0,1,0,0,0,0,0,0,0,1,0,0,0
393.0,3.39,22.18,0,0,0,0,0,1,12,1,168.0,0,0,0,0,0,0,0,1,1,0,0,1,0
54.0,3.63,10.06,0,0,0,1,1,0,6,6,16.0,0,0,1,0,0,0,1,0,1,0,1,0,0
26572.0,106.32,94.08,0,0,0,0,0,4,1,5,252.0,0,0,0,0,0,0,1,0,1,0,0,0,1
570354.0,229.08,65.75,0,0,1,0,0,2,9,0,231.0,0,0,0,0,1,0,1,0,1,0,0,0,0
254408.0,553.68,76.08,0,0,0,0,0,0,3,4,392.0,0,0,0,1,0,0,0,1,1,0,1,0,0
1001.0,10.13,21.59,0,0,0,0,0,3,3,3,242.0,0,0,0,0,0,0,1,0,1,0,1,0,0
61.0,3.66,23.27,1,1,1,0,1,0,9,5,30.0,0,0,0,0,0,0,0,0,0,0,0,1,0
15872.0,23.98,53.66,0,0,0,0,0,2,2,0,266.0,0,1,0,0,0,0,0,1,1,1,0,0,0
15641.0,17.68,54.93,0,1,0,0,0,3,1,3,230.0,1,0,0,0,0,0,1,0,1,1,0,0,0
66688.0,161.67,36.02,0,0,0,0,0,4,1,5,128.0,0,0,0,1,0,0,1,0,1,1,0,0,0
316.0,5.55,18.12,0,0,1,0,1,4,2,0,9.0,0,0,0,0,1,0,1,0,0,0,1,0,0
3232.0,8.49,14.6,0,1,0,0,0,2,7,3,84.0,0,0,0,0,0,0,1,0,1,0,0,0,0
6614.0,26.26,54.24,1,0,0,1,0,1,6,6,432.0,0,0,1,0,0,0,0,1,1,1,0,0,0
25724.0,77.59,53.31,0,1,1,0,0,2,5,3,308.0,1,0,0,0,0,0,0,0,1,0,0,1,0
14417.0,81.76,91.58,1,0,0,0,0,3,5,2,300.0,0,1,0,0,0,0,0,0,1,0,0,0,0
116226.0,59.84,95.37,1,0,1,0,1,2,5,5,646.0,1,0,0,0,0,0,0,1,1,1,0,0,0
212.0,3.91,19.37,1,1,0,1,1,0,8,1,66.0,0,0,1,0,0,0,0,0,1,0,0,0,0
1736.0,4.39,22.2,0,1,0,0,0,2,5,6,238.0,0,0,0,0,0,0,1,0,0,1,0,0,0
220.0,6.91,17.84,1,1,0,0,0,2,3,0,45.0,0,1,0,0,0,0,0,0,0,0,0,1,0
1219693.0,1366.66,47.73,0,0,0,0,0,4,7,6,168.0,0,0,0,0,0,0,1,0,1,0,1,0,0
398.0,3.31,24.88,1,0,0,1,0,2,3,2,84.0,0,0,1,0,0,0,1,0,1,1,0,0,0
451.0,5.1,13.99,0,0,0,0,0,3,2,2,112.0,0,0,0,0,0,0,0,0,1,0,1,0,0
725.0,3.36,10.64,0,0,0,0,0,2,4,1,189.0,0,0,0,0,0,0,1,0,1,0,0,0,0
3162.0,45.62,79.11,1,1,0,0,0,3,5,6,45.0,0,0,0,1,0,0,1,0,0,1,0,0,0
22348.0,107.85,61.52,0,1,1,0,0,3,4,0,78.0,0,0,0,1,0,0,1,0,1,0,0,0,0
140.0,5.63,11.08,0,0,0,0,0,2,6,4,40.0,0,1,0,0,0,0,1,0,1,0,0,0,0
29.0,6.52,12.52,0,0,0,0,0,1,2,3,16.0,0,0,0,0,0,1,0,0,1,0,1,0,0
1994.0,10.45,19.83,1,1,1,0,0,3,7,1,280.0,0,0,0,0,0,0,1,0,0,0,0,0,0
506.0,3.06,23.73,1,0,0,1,0,2,5,1,133.0,0,0,0,0,0,0,0,0,1,1,0,0,0
163.0,4.12,15.96,0,0,1,1,0,3,6,2,64.0,0,0,1,0,0,0,0,1,1,0,0,1,0
1527.0,5.43,13.08,0,0,0,0,0,4,3,1,297.0,0,0,0,0,0,0,1,0,1,0,0,1,0
367.0,3.15,11.68,1,0,0,1,0,3,1,5,78.0,0,0,1,0,0,0,0,1,1,0,0,0,0
4355.0,33.45,12.04,1,1,1,0,0,1,6,4,720.0,0,0,0,0,0,0,0,0,1,0,0,0,0
1635.0,6.6,13.47,0,1,0,0,0,4,6,0,77.0,0,1,0,0,0,0,1,0,0,0,0,0,1
3485.0,17.74,18.67,1,1,1,1,1,4,12,6,540.0,0,0,1,0,0,0,0,0,0,0,0,1,0
2828.0,5.39,10.73,0,0,0,0,0,0,2,6,490.0,0,0,0,0,0,0,1,0,1,0,1,0,0
2149.0,5.16,19.51,1,0,0,0,0,1,5,5,324.0,0,0,0,0,0,0,1,0,1,0,1,0,0
85362.0,626.33,45.73,1,0,1,0,0,4,12,2,126.0,0,0,0,0,1,0,1,0,1,0,0,0,0
4921.0,16.38,22.82,0,0,0,1,0,1,12,4,390.0,0,0,1,0,0,0,1,0,1,1,0,0,0
578.0,3.44,15.38,0,0,1,0,0,4,10,2,216.0,0,0,0,0,0,0,1,0,1,1,0,0,0
198035.0,1237.87,88.65,0,1,0,0,0,2,1,5,152.0,0,0,0,0,1,0,0,0,0,0,0,0,1
2601.0,14.49,11.88,0,0,0,0,0,2,2,6,561.0,0,0,0,0,0,0,1,0,0,0,1,0,0
111.0,6.98,15.62,0,0,1,0,0,3,2,3,96.0,0,0,0,0,0,1,0,0,1,0,0,0,1
6887736.0,39736.29,85.76,0,1,1,1,0,2,6,0,960.0,0,0,0,1,0,0,1,0,0,0,0,1,0
4228.0,7.0,19.54,0,0,0,0,0,1,5,5,40.0,0,0,0,1,0,0,1,0,1,1,0,0,0
1653.0,6.58,10.11,1,0,0,0,0,1,11,1,112.0,0,1,0,0,0,0,0,1,1,0,0,1,0
768367.0,1659.4,80.01,0,1,0,0,0,2,4,1,300.0,0,0,0,0,1,0,0,0,0,0,0,0,1
406.0,4.17,20.58,0,0,0,1,0,2,5,4,50.0,0,0,1,0,0,0,1,0,1,0,1,0,0
1382.0,4.98,15.04,0,0,1,1,0,0,2,2,189.0,0,0,0,0,0,0,1,0,0,0,0,0,1
971.0,5.34,11.82,0,1,0,0,0,1,4,1,40.0,1,0,0,0,0,0,0,0,0,0,0,0,1
685.0,4.04,19.86,0,0,0,1,0,1,6,6,104.0,0,0,1,0,0,0,1,0,1,1,0,0,0
286.0,5.2,20.84,0,1,1,1,1,0,9,5,40.0,0,0,1,0,0,0,1,0,1,0,0,0,0
3162.0,13.97,17.1,1,0,0,0,0,1,5,6,168.0,0,0,0,0,0,0,0,0,1,0,0,1,0
4824.0,16.89,10.95,0,0,0,0,0,3,4,5,32.0,0,0,0,0,1,0,0,0,1,0,0,0,1
3816.0,11.32,19.28,0,1,0,0,0,2,3,2,28.0,0,0,0,0,1,0,0,0,1,0,0,0,1
47815.0,66.78,69.89,0,1,0,0,0,3,1,0,594.0,1,0,0,0,0,0,0,0,0,0,0,1,0
7836.0,7.93,73.74,0,0,0,0,0,3,5,3,243.0,0,1,0,0,0,0,1,0,1,0,1,0,0
26.0,5.94,16.79,0,0,0,0,0,3,12,6,6.0,0,1,0,0,0,0,1,0,1,0,1,0,0
1392.0,3.81,21.83,0,1,0,0,0,1,7,4,25.0,0,0,0,1,0,0,1,0,0,1,0,0,0
2038.0,6.86,15.04,0,0,1,0,0,2,1,3,405.0,0,0,0,0,0,0,1,0,1,0,0,1,0
7985.0,20.1,34.78,1,1,1,1,1,0,5,5,414.0,0,0,1,0,0,0,0,0,0,0,1,0,0
1194.0,5.32,18.1,1,0,0,0,0,1,10,0,320.0,0,0,0,0,0,0,0,0,1,0,1,0,0
1054.0,6.51,10.68,0,0,1,0,0,2,4,1,420.0,0,0,0,0,0,1,0,1,1,1,0,0,0
29.0,5.76,12.38,1,0,0,0,0,4,10,1,32.0,0,0,0,0,0,1,1,0,1,0,0,0,0
1193.0,6.83,24.87,1,0,0,0,0,0,11,2,234.0,0,0,0,0,0,0,0,1,1,0,1,0,0
3162.0,4.8,12.15,0,1,0,1,0,3,9,4,98.0,0,0,1,0,0,0,1,0,1,0,1,0,0
702.0,4.55,21.46,0,0,0,0,1,0,12,3,15.0,0,0,0,1,0,0,0,0,1,1,0,0,0
3162.0,101.79,41.91,0,0,0,0,0,4,10,1,256.0,0,0,0,0,0,0,1,0,1,0,1,0,0
117141.0,1123.45,61.58,1,0,0,0,0,2,8,0,114.0,0,0,0,0,1,0,0,1,1,0,0,1,0
1027.0,6.62,14.3,0,0,0,0,1,1,1,2,80.0,1,0,0,0,0,0,1,0,0,0,1,0,0
3628805.0,9308.65,61.24,0,0,0,1,0,1,2,6,714.0,0,0,0,1,0,0,1,0,1,1,0,0,0
9381.0,52.19,84.8,0,1,0,0,0,3,4,6,133.0,1,0,0,0,0,0,0,0,1,0,1,0,0
10.0,6.11,15.7,0,0,1,0,0,4,6,3,6.0,1,0,0,0,0,0,0,1,0,0,0,1,0
6290.0,26.58,70.72,1,0,1,0,0,4,6,6,198.0,0,1,0,0,0,0,0,0,1,0,0,1,0
1140.0,4.69,13.78,0,0,1,1,0,1,2,0,168.0,0,0,1,0,0,0,1,0,1,0,1,0,0
3721.0,9.2,14.09,1,1,0,1,1,1,7,5,546.0,0,0,1,0,0,0,0,0,1,1,0,0,0
6368.0,9.69,63.65,0,0,1,1,0,4,4,5,396.0,0,0,1,0,0,0,1,0,1,0,0,0,0
44.0,6.22,10.9,0,1,0,0,0,1,2,5,32.0,0,0,0,0,0,1,0,0,0,0,0,1,0
58179.0,49.11,76.83,1,1,1,0,0,2,12,4,770.0,0,1,0,0,0,0,0,0,1,0,1,0,0
10976.0,27.44,73.55,1,0,0,1,1,4,1,5,328.0,0,0,1,0,0,0,0,1,1,0,0,0,0
166.0,6.44,18.15,1,0,0,0,0,1,10,0,6.0,0,0,0,0,1,0,0,0,1,0,0,0,0
3162.0,114.21,25.54,0,0,0,0,0,4,3,5,817.0,0,1,0,0,0,0,1,0,1,0,0,1,0
97.0,3.4,19.01,1,1,0,0,0,4,4,3,72.0,0,0,0,0,0,1,0,0,1,0,0,1,0
10770.0,42.41,64.59,1,1,0,0,1,3,5,4,216.0,0,1,0,0,0,0,0,0,0,1,0,0,0
78.0,4.08,22.41,1,0,1,0,0,3,9,5,24.0,0,0,0,0,0,0,1,0,0,1,0,0,0
15356.0,23.14,91.32,1,1,1,0,0,0,4,2,370.0,0,0,0,0,0,0,1,0,0,0,0,1,0
326.0,3.85,20.85,0,1,0,0,0,1,11,6,208.0,0,0,0,0,0,1,0,0,1,1,0,0,0
3162.0,13.27,18.24,0,0,1,1,0,3,11,4,210.0,0,0,1,0,0,0,0,0,1,0,0,1,0
2483.0,19.4,13.15,0,1,0,0,1,3,10,1,84.0,1,0,0,0,0,0,1,0,0,0,1,0,0
713.0,3.38,15.62,0,0,0,0,0,1,3,1,627.0,0,0,0,0,0,1,1,0,1,0,0,0,1
57456.0,121.36,63.6,0,0,1,0,1,2,5,1,546.0,1,0,0,0,0,0,1,0,1,0,0,1,0
244.0,5.98,18.57,1,0,1,0,0,0,7,0,231.0,0,0,0,0,0,1,1,0,1,0,0,0,1
1197.0,3.66,18.64,1,0,1,0,1,2,3,4,77.0,0,1,0,0,0,0,0,1,1,0,0,0,1
3162.0,114.26,86.87,1,0,1,0,0,3,7,5,320.0,1,0,0,0,0,0,0,1,1,0,0,1,0
17.0,3.75,22.68,1,0,0,0,0,0,12,1,35.0,0,0,0,0,0,1,1,0,1,1,0,0,0
755.0,5.79,16.16,0,0,1,0,0,1,4,3,45.0,0,1,0,0,0,0,1,0,0,0,0,0,0
126426.0,446.67,40.92,0,1,0,0,0,4,8,1,140.0,0,0,0,0,1,0,0,0,0,0,0,0,0
88.0,5.54,20.28,0,0,1,0,0,1,9,0,28.0,0,0,0,0,0,0,1,0,1,0,0,1,0
9592.0,53.06,31.12,1,0,0,0,1,1,6,4,40.0,0,0,0,0,1,0,0,0,0,1,0,0,0
8062674.0,47670.02,38.71,0,1,1,0,0,4,12,0,592.0,0,0,0,0,1,0,0,0,1,0,1,0,0
43881.0,60.03,78.81,1,0,0,0,1,3,11,5,126.0,0,0,0,0,1,0,1,0,0,0,1,0,0
3162.0,5.61,18.72,0,0,1,0,0,1,4,4,6.0,0,0,0,0,1,0,1,0,1,0,0,0,1
415.0,6.74,14.19,0,0,1,0,0,0,9,6,91.0,0,0,0,0,0,0,1,0,1,0,0,1,0
77353.0,373.55,87.68,0,0,0,0,0,2,9,3,120.0,0,0,0,1,0,0,1,0,1,0,0,0,0
1534.0,5.15,18.57,0,1,1,0,0,3,9,1,132.0,0,1,0,0,0,0,1,0,0,0,0,1,0
466.0,6.8,22.05,0,0,1,0,0,2,5,1,468.0,0,0,0,0,0,1,1,0,1,0,0,0,0
207581.0,188.01,63.08,1,0,1,0,0,1,11,6,280.0,0,0,0,1,0,0,0,0,1,1,0,0,0
3162.0,5.95,13.71,0,1,0,0,1,4,3,1,25.0,0,1,0,0,0,0,1,0,0,0,1,0,0
1068371.0,3172.3,51.02,0,0,1,0,0,3,2,3,377.0,0,0,0,1,0,0,1,0,1,0,1,0,0
408.0,6.59,14.64,0,1,1,0,0,1,1,4,77.0,0,0,0,0,0,0,1,0,1,0,0,0,0
3162.0,6.97,23.55,0,0,1,0,0,2,3,5,105.0,0,0,0,0,0,1,0,1,1,0,0,1,0
540.0,3.82,12.5,1,0,0,1,0,1,7,6,90.0,0,0,1,0,0,0,0,1,0,0,0,0,0
973.0,6.17,22.07,0,0,0,0,0,3,3,2,231.0,0,0,0,0,0,0,1,0,1,0,1,0,0
4835745.0,13978.42,90.2,0,0,0,0,0,1,5,2,288.0,0,0,0,0,1,0,0,0,0,0,0,1,0
2026667.0,11148.65,28.94,1,0,0,0,0,2,3,6,372.0,0,0,0,0,1,0,0,1,1,0,0,0,0
85.0,3.47,23.98,0,1,0,0,0,4,11,3,35.0,0,0,0,0,0,0,0,0,0,0,1,0,0
2708.0,6.79,10.25,0,0,0,0,0,2,8,4,84.0,1,0,0,0,0,0,1,0,1,0,1,0,0
1467.0,7.87,12.94,1,0,0,0,0,4,6,1,78.0,0,1,0,0,0,0,0,0,0,0,1,0,0
1164.0,5.88,10.23,0,1,0,0,0,4,8,6,392.0,0,0,0,0,0,0,1,0,0,0,1,0,0
80.0,5.87,20.42,1,0,0,0,0,2,4,0,30.0,0,0,0,0,0,0,0,0,1,1,0,0,0
1071.0,11.48,22.39,0,0,1,0,0,2,6,1,250.0,0,0,0,0,0,0,1,0,1,0,0,0,1
37126.0,51.25,67.78,0,0,1,0,1,2,11,2,78.0,0,0,0,0,1,0,0,0,1,0,0,1,0
2149.0,9.6,22.19,0,1,1,0,0,4,2,6,368.0,0,0,0,0,0,0,0,0,0,0,0,0,1
585685.0,2661.51,51.75,0,0,1,0,0,4,3,4,275.0,0,0,0,0,1,0,1,0,0,1,0,0,0
531.0,5.38,17.42,1,0,1,0,0,4,1,6,512.0,0,0,0,0,0,1,0,0,0,1,0,0,0
1258979.0,12289.89,45.72,0,0,0,0,0,1,9,3,294.0,0,0,0,0,1,0,1,0,1,0,1,0,0
1768.0,5.12,24.56,0,1,0,0,0,3,11,3,216.0,0,0,0,0,0,0,1,0,1,0,1,0,0
5378831.0,25027.42,89.83,0,0,0,1,0,4,1,2,756.0,0,0,0,1,0,0,1,0,1,1,0,0,0
217.0,6.57,23.02,0,0,0,0,0,4,8,4,192.0,0,0,0,0,0,0,0,1,1,1,0,0,0
435.0,5.5,24.12,0,0,1,0,1,2,6,3,198.0,0,0,0,0,0,1,1,0,1,1,0,0,0
1178827.0,6913.89,81.79,0,1,1,0,0,4,5,3,320.0,0,0,0,0,1,0,1,0,0,0,0,0,0
1007.0,5.4,17.27,0,0,0,0,1,3,2,4,220.0,0,0,0,0,0,0,1,0,1,0,0,1,0
201924.0,264.68,65.27,0,0,0,0,0,2,4,1,189.0,0,0,0,0,0,0,1,0,1,0,0,1,0
617.0,3.52,10.55,0,1,1,0,0,1,3,4,330.0,0,0,0,0,0,1,1,0,0,0,0,0,0
1126.0,4.96,19.06,0,1,1,0,0,2,12,3,495.0,0,0,0,0,0,0,1,0,0,1,0,0,0
617.0,4.26,23.06,0,1,0,0,1,1,4,2,161.0,0,0,0,0,0,0,1,0,0,0,0,0,0
3162.0,2877.65,69.89,0,0,1,0,0,1,8,6,264.0,0,0,0,0,1,0,1,0,1,1,0,0,0
179.0,4.73,20.3,1,0,1,0,1,2,11,0,119.0,0,0,0,0,0,1,0,1,1,0,0,1,0
3162.0,6.93,15.04,0,1,0,0,1,2,2,1,50.0,0,0,0,0,0,0,1,0,0,0,0,0,0
10641.0,66.06,94.8,0,0,0,0,0,4,5,6,507.0,0,1,0,0,0,0,1,0,0,0,0,1,0
1037.0,4.96,12.08,0,0,0,0,0,3,5,3,651.0,0,0,0,0,0,1,1,0,0,0,0,1,0
2879.0,13.64,19.02,1,0,1,1,0,0,10,5,207.0,0,0,1,0,0,0,1,0,1,0,0,1,0
3099.0,16.22,14.97,0,0,0,0,0,2,6,5,540.0,0,0,0,0,0,0,1,0,0,1,0,0,0
7264.0,7.62,32.0,1,0,0,0,0,1,4,4,969.0,0,0,0,0,0,0,0,1,1,0,0,0,1
372.0,4.15,10.43,0,0,0,0,1,1,8,3,90.0,0,0,0,0,0,0,0,1,1,0,0,1,0
503.0,4.66,24.84,1,1,1,0,1,3,7,1,80.0,0,1,0,0,0,0,0,0,0,0,1,0,0
630.0,4.86,19.49,0,1,0,0,0,1,8,3,252.0,0,0,0,0,0,1,0,0,0,0,0,0,1
1576.0,5.77,23.8,0,0,1,0,0,3,1,3,1150.0,0,0,0,0,0,1,0,1,1,1,0,0,0
19453774.0,88827.64,87.93,0,0,1,0,0,2,11,4,1000.0,0,0,0,0,0,0,0,0,0,0,1,0,0
904.0,4.3,16.37,0,1,0,0,0,4,4,6,168.0,0,0,0,0,0,0,1,0,1,1,0,0,0
6703.0,21.41,55.82,1,0,1,0,0,4,5,1,180.0,0,1,0,0,0,0,1,0,0,0,0,0,1
1737.0,8.76,22.74,1,0,1,1,0,4,10,5,161.0,0,0,1,0,0,0,0,1,1,0,1,0,0
406.0,4.19,12.91,0,1,0,0,0,0,5,4,9.0,0,0,0,0,1,0,0,0,0,1,0,0,0
25481.0,83.03,93.53,0,0,0,0,0,0,5,1,490.0,1,0,0,0,0,0,1,0,1,0,0,1,0
63792.0,85.11,77.62,0,0,1,0,0,2,9,1,84.0,0,0,0,0,1,0,1,0,1,0,0,1,0
