Supplier_Reliability,Equipment_Height,Equipment_Width,Equipment_Weight,Equipment_Value,Base_Transport_Fee,Equipment_Type_Aluminium,Equipment_Type_Brass,Equipment_Type_Bronze,Equipment_Type_Clay,Equipment_Type_Marble,Equipment_Type_Stone,Equipment_Type_Wood,Equipment_Type_nan,Installation_Service_No,Installation_Service_Yes,Installation_Service_nan,Hospital_Info_Wealthy,Hospital_Info_Working Class,Hospital_Info_nan,Urgent_Shipping_No,Urgent_Shipping_Yes,Urgent_Shipping_nan,Rural_Hospital_No,Rural_Hospital_Yes,Rural_Hospital_nan,CrossBorder_Shipping_No,CrossBorder_Shipping_Yes,CrossBorder_Shipping_nan,Fragile_Equipment_No,Fragile_Equipment_Yes,Fragile_Equipment_nan,Transport_Method_Airways,Transport_Method_Roadways,Transport_Method_Waterways,Transport_Method_nan
0.82,15.0,7.0,1505.0,5.32,22.1,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False,True,False,False,False,True,False,False
0.29,22.0,6.0,4947.0,6.41,12.54,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False
0.45,20.0,17.0,1529.0,4.08,18.23,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False
0.5,38.0,10.0,26409.0,29.22,34.14,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False
0.57,23.0,6.0,1208.0,6.52,22.13,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False
0.38,37.0,16.0,3137.5,29.96,19.83,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False
0.91,4.0,3.0,129.0,3.02,18.3,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False
0.34,3.0,3.0,42.0,6.28,19.31,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False
0.45,20.0,7.0,226.0,6.7,16.86,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False
0.35,23.0,10.0,7442.0,15.78,73.06,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False
0.59,33.0,13.0,3137.5,5.13,19.73,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False
0.06,16.0,8.0,5389.0,4.53,60.43,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False
0.05,25.0,9.0,1852.0,5.69,14.83,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True
0.28,9.0,4.0,382.0,5.38,15.69,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False
0.87,19.0,11.0,250244.0,1383.56,95.79,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False
0.6,20.0,8.0,393.0,3.39,22.18,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False
0.35,4.0,4.0,54.0,3.63,10.06,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False
0.45,21.0,12.0,26572.0,106.32,94.08,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False
0.18,33.0,7.0,570354.0,229.08,65.75,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False
0.45,28.0,14.0,254408.0,553.68,76.08,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False
0.78,22.0,11.0,1001.0,10.13,21.59,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False
0.41,6.0,5.0,61.0,3.66,23.27,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False
0.24,19.0,14.0,15872.0,23.98,53.66,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False
0.38,23.0,10.0,15641.0,17.68,54.93,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False
0.45,16.0,8.0,66688.0,161.67,36.02,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False
0.18,3.0,3.0,316.0,5.55,18.12,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True
0.3,12.0,7.0,3232.0,8.49,14.6,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False
0.45,30.0,23.0,43271.0,37.57,26.55,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False
0.46,7.0,4.0,2106.0,4.45,12.19,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False
0.52,36.0,12.0,6614.0,26.26,54.24,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False
0.78,22.0,14.0,25724.0,77.59,53.31,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False
0.45,25.0,12.0,14417.0,81.76,91.58,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False
0.62,38.0,17.0,116226.0,59.84,95.37,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False
0.51,11.0,6.0,212.0,3.91,19.37,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False
0.61,37.0,20.0,3137.5,136.35,55.3,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True
0.04,34.0,7.0,1736.0,4.39,22.2,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False
0.31,9.0,5.0,220.0,6.91,17.84,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False
0.52,6.0,5.0,5741.0,30.53,81.56,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False
0.45,20.0,8.0,1219693.0,1366.66,47.73,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False
0.33,14.0,6.0,398.0,3.31,24.88,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False
0.16,14.0,8.0,451.0,5.1,13.99,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False
0.03,21.0,9.0,725.0,3.36,10.64,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False
0.53,9.0,5.0,3137.5,45.62,79.11,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True
0.38,13.0,6.0,22348.0,107.85,61.52,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False
0.44,5.0,8.0,140.0,5.63,11.08,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True
0.99,4.0,4.0,29.0,6.52,12.52,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False
0.68,35.0,8.0,1994.0,10.45,19.83,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,True
0.78,19.0,7.0,506.0,3.06,23.73,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False
0.34,8.0,8.0,163.0,4.12,15.96,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False
0.13,33.0,9.0,1527.0,5.43,13.08,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False
0.29,42.0,18.0,14120.0,12.59,72.17,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False
0.07,13.0,6.0,367.0,3.15,11.68,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False
0.95,33.0,16.0,3392859.0,23198.8,52.0,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False
0.57,48.0,15.0,4355.0,33.45,12.04,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False
0.75,11.0,7.0,1635.0,6.6,13.47,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False
0.69,27.0,20.0,3485.0,17.74,18.67,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False
0.15,35.0,14.0,2828.0,5.39,10.73,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False
0.52,27.0,12.0,2149.0,5.16,19.51,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False
0.77,20.0,6.0,85362.0,626.33,45.73,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True
0.14,5.0,4.0,1298.0,3.82,16.58,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False
0.65,17.0,6.0,3137.5,3.35,13.5,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False
0.08,30.0,13.0,4921.0,16.38,22.82,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False
0.63,27.0,8.0,578.0,3.44,15.38,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False
0.69,19.0,8.0,198035.0,1237.87,88.65,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False
0.28,33.0,17.0,2601.0,14.49,11.88,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False
1.0,12.0,8.0,111.0,6.98,15.62,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False
0.64,48.0,20.0,6887736.0,39736.29,85.76,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True
0.57,10.0,4.0,4228.0,7.0,19.54,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True
0.07,4.0,3.0,86.0,6.74,14.52,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False
0.35,14.0,8.0,1653.0,6.58,10.11,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False
0.45,25.0,12.0,768367.0,1659.4,80.01,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False
0.23,10.0,5.0,406.0,4.17,20.58,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False
0.29,20.0,9.0,1382.0,4.98,15.04,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True
0.99,10.0,4.0,971.0,5.34,11.82,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False
0.29,13.0,8.0,685.0,4.04,19.86,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False
0.98,10.0,4.0,286.0,5.2,20.84,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True
0.8,20.0,8.0,3137.5,13.97,17.1,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False
0.71,8.0,4.0,4824.0,16.89,10.95,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False
0.41,30.0,12.0,17246.0,8.11,51.54,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False
0.24,7.0,4.0,3816.0,11.32,19.28,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False
0.1,27.0,22.0,47815.0,66.78,69.89,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,False
0.6,27.0,9.0,7836.0,7.93,73.74,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False
0.39,3.0,2.0,26.0,5.94,16.79,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False
0.45,5.0,5.0,1392.0,3.81,21.83,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,True,False,False
0.61,27.0,15.0,2038.0,6.86,15.04,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False
0.89,46.0,9.0,7985.0,20.1,34.78,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False
0.17,32.0,10.0,1194.0,5.32,18.1,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False
0.45,20.0,20.0,1054.0,6.51,10.68,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False
