Base_Transport_Fee,CrossBorder_Shipping_No,CrossBorder_Shipping_Yes,CrossBorder_Shipping_nan,Equipment_Height,Equipment_Type_Aluminium,Equipment_Type_Brass,Equipment_Type_Bronze,Equipment_Type_Clay,Equipment_Type_Marble,Equipment_Type_Stone,Equipment_Type_Wood,Equipment_Type_nan,Equipment_Value,Equipment_Weight,Equipment_Width,Fragile_Equipment_No,Fragile_Equipment_Yes,Fragile_Equipment_nan,Hospital_Info_Wealthy,Hospital_Info_Working Class,Hospital_Info_nan,Installation_Service_No,Installation_Service_Yes,Installation_Service_nan,Rural_Hospital_No,Rural_Hospital_Yes,Rural_Hospital_nan,Supplier_Reliability,Transport_Method_Airways,Transport_Method_Roadways,Transport_Method_Waterways,Transport_Method_nan,Urgent_Shipping_No,Urgent_Shipping_Yes,Urgent_Shipping_nan
24.75,False,True,False,12.0,True,False,False,False,False,False,False,False,5.77,372.0,6.0,True,False,False,False,True,False,False,True,False,True,False,False,0.82,False,False,True,False,True,False,False
12.16,False,True,False,26.0,False,False,False,False,False,False,False,True,5.95,755.0,6.0,True,False,False,False,True,False,True,False,False,False,True,False,0.44,False,False,True,False,True,False,False
23.35,True,False,False,10.0,False,False,False,False,False,False,True,False,6.19,71.0,4.0,True,False,False,False,True,False,True,False,False,False,False,True,0.54,False,False,False,True,False,True,False
27.64,True,False,False,13.0,False,False,False,False,False,True,False,False,107.5,2628.0,7.0,True,False,False,False,True,False,False,True,False,True,False,False,0.27,False,True,False,False,True,False,False
90.98,True,False,False,20.0,False,True,False,False,False,False,False,False,22.71,22277.0,14.0,True,False,False,False,True,False,False,True,False,False,True,False,0.31,False,True,False,False,True,False,False
13.52,True,False,False,11.0,False,False,False,True,False,False,False,False,5.69,252.0,7.0,False,True,False,False,True,False,False,True,False,False,True,False,0.54,False,True,False,False,True,False,False
24.85,False,True,False,17.0,True,False,False,False,False,False,False,False,4.3,768.0,10.0,True,False,False,False,True,False,False,True,False,False,True,False,0.18,False,False,True,False,True,False,False
11.99,True,False,False,3.0,False,True,False,False,False,False,False,False,4.39,36.0,2.0,True,False,False,False,True,False,True,False,False,False,False,True,0.58,False,False,False,True,False,True,False
13.81,True,False,False,35.0,False,False,False,True,False,False,False,False,17.67,4175.0,10.0,False,True,False,False,True,False,False,True,False,False,True,False,0.3,True,False,False,False,False,True,False
13.25,True,False,False,6.0,True,False,False,False,False,False,False,False,5.08,44.0,4.0,True,False,False,False,True,False,True,False,False,True,False,False,0.31,False,False,True,False,True,False,False
99.26,True,False,False,30.0,False,False,False,False,False,True,False,False,2528.55,1007887.0,10.0,True,False,False,False,True,False,False,True,False,True,False,False,0.28,True,False,False,False,False,True,False
33.38,False,True,False,11.0,False,False,False,False,True,False,False,False,149.98,30937.0,8.0,True,False,False,False,True,False,True,False,False,True,False,False,0.45,False,False,False,True,False,True,False
18.68,True,False,False,10.0,False,False,True,False,False,False,False,False,3.95,682.0,5.0,True,False,False,False,True,False,True,False,False,True,False,False,0.44,False,True,False,False,True,False,False
20.79,True,False,False,38.0,False,False,False,False,False,False,True,False,3.89,220.0,7.0,True,False,False,True,False,False,False,True,False,True,False,False,0.06,True,False,False,False,False,True,False
21.66,False,True,False,13.0,False,False,False,False,False,False,False,True,6.91,463.0,6.0,True,False,False,False,True,False,True,False,False,True,False,False,0.22,False,True,False,False,True,False,False
53.76,False,True,False,16.0,False,False,False,False,False,True,False,False,95.59,153774.0,8.0,True,False,False,False,True,False,True,False,False,True,False,False,0.11,False,False,False,True,True,False,False
70.04,True,False,False,28.0,False,False,False,False,False,True,False,False,3077.11,1230732.0,14.0,True,False,False,True,False,False,True,False,False,True,False,False,0.52,False,True,False,False,True,False,False
37.31,True,False,False,40.0,False,False,False,False,False,False,False,True,83.42,27779.0,26.0,False,True,False,False,True,False,True,False,False,True,False,False,0.35,False,False,False,True,True,False,False
55.67,True,False,False,11.0,False,False,False,False,True,False,False,False,13.72,12634.0,6.0,True,False,False,False,True,False,True,False,False,False,True,False,0.2,False,True,False,False,True,False,False
22.1,True,False,False,15.0,False,False,True,False,False,False,False,False,5.32,1505.0,7.0,True,False,False,False,True,False,True,False,False,False,False,True,0.82,False,True,False,False,False,True,False
12.54,True,False,False,22.0,False,True,False,False,False,False,False,False,6.41,4947.0,6.0,True,False,False,False,True,False,True,False,False,True,False,False,0.29,False,True,False,False,True,False,False
18.23,True,False,False,20.0,True,False,False,False,False,False,False,False,4.08,1529.0,17.0,True,False,False,False,True,False,True,False,False,True,False,False,0.44,False,True,False,False,False,True,False
34.14,False,True,False,38.0,False,False,False,False,False,False,False,True,29.22,26409.0,10.0,True,False,False,True,False,False,True,False,False,False,True,False,0.5,False,False,True,False,True,False,False
22.13,True,False,False,23.0,False,False,False,True,False,False,False,False,6.52,1208.0,6.0,False,True,False,False,True,False,True,False,False,False,True,False,0.57,False,True,False,False,False,True,False
19.83,False,True,False,37.0,True,False,False,False,False,False,False,False,29.96,2628.0,16.0,True,False,False,True,False,False,True,False,False,False,True,False,0.38,True,False,False,False,False,True,False
18.3,True,False,False,4.0,False,True,False,False,False,False,False,False,3.02,129.0,3.0,True,False,False,False,True,False,False,True,False,False,True,False,0.91,False,True,False,False,True,False,False
19.31,True,False,False,3.0,False,True,False,False,False,False,False,False,6.28,42.0,3.0,True,False,False,False,True,False,True,False,False,True,False,False,0.34,False,True,False,False,True,False,False
16.86,False,True,False,20.0,False,False,False,False,False,False,True,False,6.7,226.0,7.0,True,False,False,False,True,False,True,False,False,True,False,False,0.44,True,False,False,False,False,True,False
73.06,True,False,False,23.0,False,False,True,False,False,False,False,False,15.78,7442.0,10.0,True,False,False,False,True,False,False,True,False,False,True,False,0.35,False,True,False,False,True,False,False
19.73,True,False,False,33.0,True,False,False,False,False,False,False,False,5.13,2628.0,13.0,True,False,False,False,True,False,True,False,False,True,False,False,0.59,False,True,False,False,True,False,False
60.43,True,False,False,16.0,False,True,False,False,False,False,False,False,4.53,5389.0,8.0,True,False,False,False,True,False,False,True,False,True,False,False,0.06,True,False,False,False,False,True,False
14.83,False,True,False,25.0,False,False,False,True,False,False,False,False,5.69,1852.0,9.0,False,True,False,False,True,False,False,True,False,True,False,False,0.05,False,False,False,True,False,True,False
15.69,True,False,False,9.0,False,False,True,False,False,False,False,False,5.38,382.0,4.0,True,False,False,True,False,False,True,False,False,True,False,False,0.28,True,False,False,False,False,True,False
22.18,True,False,False,20.0,True,False,False,False,False,False,False,False,3.39,393.0,8.0,True,False,False,False,True,False,True,False,False,False,False,True,0.6,False,False,True,False,True,False,False
10.06,True,False,False,4.0,False,False,False,True,False,False,False,False,3.63,54.0,4.0,False,True,False,False,True,False,True,False,False,False,True,False,0.35,False,True,False,False,True,False,False
94.08,True,False,False,21.0,False,False,False,False,False,False,False,True,106.32,26572.0,12.0,True,False,False,False,True,False,True,False,False,True,False,False,0.44,False,True,False,False,True,False,False
65.75,True,False,False,33.0,False,False,False,False,False,True,False,False,229.08,570354.0,7.0,True,False,False,False,True,False,False,True,False,True,False,False,0.18,False,True,False,False,True,False,False
76.08,True,False,False,28.0,False,False,False,False,True,False,False,False,553.68,254408.0,14.0,True,False,False,False,True,False,True,False,False,True,False,False,0.45,False,False,True,False,True,False,False
21.59,True,False,False,22.0,True,False,False,False,False,False,False,False,10.13,1001.0,11.0,True,False,False,False,True,False,True,False,False,False,False,True,0.78,False,True,False,False,True,False,False
23.27,False,True,False,6.0,True,False,False,False,False,False,False,False,3.66,61.0,5.0,True,False,False,True,False,False,False,True,False,False,True,False,0.41,True,False,False,False,False,True,False
53.66,True,False,False,19.0,False,False,True,False,False,False,False,False,23.98,15872.0,14.0,True,False,False,False,True,False,True,False,False,True,False,False,0.24,False,False,True,False,True,False,False
54.93,True,False,False,23.0,False,True,False,False,False,False,False,False,17.68,15641.0,10.0,True,False,False,False,True,False,True,False,False,True,False,False,0.38,False,True,False,False,False,True,False
36.02,True,False,False,16.0,False,False,False,False,True,False,False,False,161.67,66688.0,8.0,True,False,False,False,True,False,True,False,False,True,False,False,0.45,False,True,False,False,True,False,False
18.12,True,False,False,3.0,False,False,False,False,False,True,False,False,5.55,316.0,3.0,True,False,False,True,False,False,False,True,False,False,True,False,0.18,False,False,False,True,True,False,False
14.6,True,False,False,12.0,False,False,False,False,False,False,False,True,8.49,3232.0,7.0,True,False,False,False,True,False,True,False,False,True,False,False,0.3,False,True,False,False,False,True,False
26.55,False,True,False,30.0,False,False,True,False,False,False,False,False,37.57,43271.0,23.0,True,False,False,True,False,False,True,False,False,False,True,False,0.44,True,False,False,False,False,True,False
12.19,True,False,False,7.0,False,False,False,False,True,False,False,False,4.45,2106.0,4.0,True,False,False,False,True,False,False,True,False,True,False,False,0.46,False,False,True,False,True,False,False
54.24,False,True,False,36.0,False,False,False,True,False,False,False,False,26.26,6614.0,12.0,False,True,False,False,True,False,True,False,False,True,False,False,0.52,False,False,True,False,True,False,False
53.31,True,False,False,22.0,False,True,False,False,False,False,False,False,77.59,25724.0,14.0,True,False,False,False,True,False,False,True,False,True,False,False,0.78,True,False,False,False,False,True,False
91.58,False,True,False,25.0,False,False,True,False,False,False,False,False,81.76,14417.0,12.0,True,False,False,False,True,False,True,False,False,False,False,True,0.44,True,False,False,False,True,False,False
95.37,False,True,False,38.0,False,True,False,False,False,False,False,False,59.84,116226.0,17.0,True,False,False,False,True,False,False,True,False,False,True,False,0.62,False,False,True,False,True,False,False
19.37,False,True,False,11.0,False,False,False,True,False,False,False,False,3.91,212.0,6.0,False,True,False,False,True,False,True,False,False,False,True,False,0.51,True,False,False,False,False,True,False
22.2,True,False,False,34.0,True,False,False,False,False,False,False,False,4.39,1736.0,7.0,True,False,False,True,False,False,True,False,False,True,False,False,0.04,False,True,False,False,False,True,False
17.84,False,True,False,9.0,False,False,True,False,False,False,False,False,6.91,220.0,5.0,True,False,False,True,False,False,True,False,False,True,False,False,0.31,True,False,False,False,False,True,False
81.56,False,True,False,6.0,False,False,False,False,False,True,False,False,30.53,5741.0,5.0,True,False,False,False,True,False,True,False,False,True,False,False,0.52,False,False,True,False,True,False,False
47.73,True,False,False,20.0,False,False,False,False,False,False,False,True,1366.66,1219693.0,8.0,True,False,False,False,True,False,True,False,False,False,False,True,0.44,False,True,False,False,True,False,False
24.88,False,True,False,14.0,False,False,False,True,False,False,False,False,3.31,398.0,6.0,False,True,False,False,True,False,True,False,False,True,False,False,0.33,False,True,False,False,True,False,False
13.99,True,False,False,14.0,True,False,False,False,False,False,False,False,5.1,451.0,8.0,True,False,False,False,True,False,True,False,False,True,False,False,0.16,True,False,False,False,True,False,False
10.64,True,False,False,21.0,True,False,False,False,False,False,False,False,3.36,725.0,9.0,True,False,False,False,True,False,True,False,False,True,False,False,0.03,False,True,False,False,True,False,False
79.11,False,True,False,9.0,False,False,False,False,True,False,False,False,45.62,2628.0,5.0,True,False,False,True,False,False,True,False,False,True,False,False,0.53,False,False,False,True,False,True,False
61.52,True,False,False,13.0,False,False,False,False,True,False,False,False,107.85,22348.0,6.0,True,False,False,False,True,False,False,True,False,True,False,False,0.38,False,True,False,False,False,True,False
11.08,True,False,False,5.0,False,False,True,False,False,False,False,False,5.63,140.0,8.0,True,False,False,False,True,False,True,False,False,True,False,False,0.44,False,False,False,True,True,False,False
12.52,True,False,False,4.0,False,False,False,False,False,False,True,False,6.52,29.0,4.0,True,False,False,False,True,False,True,False,False,True,False,False,0.99,True,False,False,False,True,False,False
19.83,False,True,False,35.0,True,False,False,False,False,False,False,False,10.45,1994.0,8.0,True,False,False,True,False,False,False,True,False,False,False,True,0.68,False,False,False,True,False,True,False
23.73,False,True,False,19.0,False,False,False,False,False,False,False,True,3.06,506.0,7.0,False,True,False,False,True,False,True,False,False,True,False,False,0.78,True,False,False,False,True,False,False
15.96,True,False,False,8.0,False,False,False,True,False,False,False,False,4.12,163.0,8.0,False,True,False,False,True,False,False,True,False,True,False,False,0.34,False,False,True,False,True,False,False
13.08,True,False,False,33.0,True,False,False,False,False,False,False,False,5.43,1527.0,9.0,True,False,False,False,True,False,True,False,False,True,False,False,0.13,False,True,False,False,True,False,False
72.17,True,False,False,42.0,False,False,False,True,False,False,False,False,12.59,14120.0,18.0,False,True,False,False,True,False,True,False,False,True,False,False,0.29,False,True,False,False,True,False,False
11.68,False,True,False,13.0,False,False,False,True,False,False,False,False,3.15,367.0,6.0,False,True,False,False,True,False,True,False,False,True,False,False,0.07,False,False,True,False,True,False,False
12.04,False,True,False,48.0,True,False,False,False,False,False,False,False,33.45,4355.0,15.0,True,False,False,False,True,False,False,True,False,True,False,False,0.57,True,False,False,False,False,True,False
13.47,True,False,False,11.0,False,False,True,False,False,False,False,False,6.6,1635.0,7.0,True,False,False,True,False,False,True,False,False,True,False,False,0.75,False,True,False,False,False,True,False
18.67,False,True,False,27.0,False,False,False,True,False,False,False,False,17.74,3485.0,20.0,False,True,False,True,False,False,False,True,False,False,True,False,0.69,True,False,False,False,False,True,False
10.73,True,False,False,35.0,True,False,False,False,False,False,False,False,5.39,2828.0,14.0,True,False,False,False,True,False,True,False,False,True,False,False,0.15,False,True,False,False,True,False,False
19.51,False,True,False,27.0,True,False,False,False,False,False,False,False,5.16,2149.0,12.0,True,False,False,False,True,False,True,False,False,True,False,False,0.52,False,True,False,False,True,False,False
45.73,False,True,False,20.0,False,False,False,False,False,True,False,False,626.33,85362.0,6.0,True,False,False,False,True,False,False,True,False,True,False,False,0.77,False,False,False,True,True,False,False
16.58,True,False,False,5.0,False,False,False,False,True,False,False,False,3.82,1298.0,4.0,True,False,False,False,True,False,False,True,False,True,False,False,0.14,False,True,False,False,True,False,False
13.5,True,False,False,17.0,False,False,False,False,False,False,False,True,3.35,2628.0,6.0,True,False,False,False,True,False,False,True,False,True,False,False,0.65,False,True,False,False,True,False,False
22.82,True,False,False,30.0,False,False,False,True,False,False,False,False,16.38,4921.0,13.0,False,True,False,False,True,False,True,False,False,True,False,False,0.08,False,True,False,False,True,False,False
15.38,True,False,False,27.0,False,False,False,False,False,False,False,True,3.44,578.0,8.0,True,False,False,False,True,False,False,True,False,True,False,False,0.63,False,True,False,False,True,False,False
88.65,True,False,False,19.0,False,False,False,False,False,True,False,False,1237.87,198035.0,8.0,True,False,False,True,False,False,True,False,False,True,False,False,0.69,True,False,False,False,False,True,False
11.88,True,False,False,33.0,True,False,False,False,False,False,False,False,14.49,2601.0,17.0,True,False,False,True,False,False,True,False,False,False,False,True,0.28,False,True,False,False,True,False,False
15.62,True,False,False,12.0,False,False,False,False,False,False,True,False,6.98,111.0,8.0,True,False,False,False,True,False,False,True,False,True,False,False,1.0,True,False,False,False,True,False,False
19.54,True,False,False,10.0,False,False,False,False,True,False,False,False,7.0,4228.0,4.0,True,False,False,False,True,False,True,False,False,False,False,True,0.57,False,False,False,True,True,False,False
14.52,False,True,False,4.0,False,False,True,False,False,False,False,False,6.74,86.0,3.0,True,False,False,False,True,False,False,True,False,False,False,True,0.07,False,False,True,False,True,False,False
10.11,False,True,False,14.0,False,False,True,False,False,False,False,False,6.58,1653.0,8.0,True,False,False,False,True,False,True,False,False,True,False,False,0.35,False,False,True,False,True,False,False
80.01,True,False,False,25.0,False,False,False,False,False,True,False,False,1659.4,768367.0,12.0,True,False,False,True,False,False,True,False,False,True,False,False,0.44,True,False,False,False,False,True,False
20.58,True,False,False,10.0,False,False,False,True,False,False,False,False,4.17,406.0,5.0,False,True,False,False,True,False,True,False,False,True,False,False,0.23,False,True,False,False,True,False,False
15.04,True,False,False,20.0,False,False,False,False,False,False,False,True,4.98,1382.0,9.0,False,True,False,True,False,False,False,True,False,True,False,False,0.29,False,False,False,True,True,False,False
11.82,True,False,False,10.0,False,True,False,False,False,False,False,False,5.34,971.0,4.0,True,False,False,True,False,False,True,False,False,True,False,False,0.99,True,False,False,False,False,True,False
19.86,True,False,False,13.0,False,False,False,True,False,False,False,False,4.04,685.0,8.0,False,True,False,False,True,False,True,False,False,True,False,False,0.29,False,True,False,False,True,False,False
20.84,True,False,False,10.0,False,False,False,True,False,False,False,False,5.2,286.0,4.0,False,True,False,False,True,False,False,True,False,False,True,False,0.98,False,False,False,True,False,True,False
17.1,False,True,False,20.0,False,False,False,False,False,False,False,True,13.97,2628.0,8.0,True,False,False,False,True,False,True,False,False,False,False,True,0.8,True,False,False,False,True,False,False
10.95,True,False,False,8.0,False,False,False,False,False,True,False,False,16.89,4824.0,4.0,True,False,False,False,True,False,True,False,False,True,False,False,0.71,True,False,False,False,True,False,False
51.54,False,True,False,30.0,False,False,True,False,False,False,False,False,8.11,17246.0,12.0,True,False,False,False,True,False,True,False,False,True,False,False,0.41,False,False,True,False,True,False,False
19.28,True,False,False,7.0,False,False,False,False,False,True,False,False,11.32,3816.0,4.0,True,False,False,False,True,False,True,False,False,True,False,False,0.24,True,False,False,False,False,True,False
69.89,True,False,False,27.0,False,True,False,False,False,False,False,False,66.78,47815.0,22.0,True,False,False,True,False,False,True,False,False,False,False,True,0.1,True,False,False,False,False,True,False
73.74,True,False,False,27.0,False,False,True,False,False,False,False,False,7.93,7836.0,9.0,True,False,False,False,True,False,True,False,False,True,False,False,0.6,False,True,False,False,True,False,False
16.79,True,False,False,3.0,False,False,True,False,False,False,False,False,5.94,26.0,2.0,True,False,False,False,True,False,True,False,False,True,False,False,0.39,False,True,False,False,True,False,False
21.83,True,False,False,5.0,False,False,False,False,True,False,False,False,3.81,1392.0,5.0,True,False,False,True,False,False,True,False,False,False,False,True,0.44,False,True,False,False,False,True,False
15.04,True,False,False,27.0,True,False,False,False,False,False,False,False,6.86,2038.0,15.0,True,False,False,False,True,False,False,True,False,True,False,False,0.61,False,True,False,False,True,False,False
34.78,False,True,False,46.0,False,False,False,True,False,False,False,False,20.1,7985.0,9.0,False,True,False,True,False,False,False,True,False,False,True,False,0.89,True,False,False,False,False,True,False
18.1,False,True,False,32.0,True,False,False,False,False,False,False,False,5.32,1194.0,10.0,True,False,False,False,True,False,True,False,False,True,False,False,0.17,True,False,False,False,True,False,False
10.68,True,False,False,20.0,False,False,False,False,False,False,True,False,6.51,1054.0,20.0,True,False,False,False,True,False,False,True,False,True,False,False,0.44,False,False,True,False,True,False,False
12.38,False,True,False,4.0,False,False,False,False,False,False,True,False,5.76,29.0,8.0,True,False,False,False,True,False,True,False,False,True,False,False,0.09,False,True,False,False,True,False,False
24.87,False,True,False,26.0,True,False,False,False,False,False,False,False,6.83,1193.0,9.0,True,False,False,False,True,False,True,False,False,True,False,False,0.5,False,False,True,False,True,False,False
12.15,True,False,False,14.0,False,False,False,True,False,False,False,False,4.8,2628.0,7.0,False,True,False,False,True,False,True,False,False,True,False,False,0.61,False,False,False,True,False,True,False
21.46,True,False,False,5.0,False,False,False,False,True,False,False,False,4.55,702.0,3.0,True,False,False,False,True,False,True,False,False,False,True,False,0.87,True,False,False,False,True,False,False
41.91,True,False,False,32.0,False,False,False,False,False,False,False,True,101.79,2628.0,8.0,True,False,False,False,True,False,True,False,False,True,False,False,0.0,False,True,False,False,True,False,False
61.58,False,True,False,19.0,False,False,False,False,False,True,False,False,1123.45,117141.0,6.0,True,False,False,False,True,False,True,False,False,True,False,False,0.93,False,False,True,False,True,False,False
14.3,True,False,False,10.0,False,True,False,False,False,False,False,False,6.62,1027.0,8.0,True,False,False,True,False,False,True,False,False,False,True,False,0.47,False,True,False,False,True,False,False
84.8,True,False,False,19.0,False,True,False,False,False,False,False,False,52.19,9381.0,7.0,True,False,False,False,True,False,True,False,False,True,False,False,0.74,True,False,False,False,False,True,False
15.7,True,False,False,3.0,False,True,False,False,False,False,False,False,6.11,10.0,2.0,True,False,False,True,False,False,False,True,False,True,False,False,0.24,False,False,True,False,True,False,False
70.72,False,True,False,22.0,False,False,True,False,False,False,False,False,26.58,6290.0,9.0,True,False,False,False,True,False,False,True,False,True,False,False,0.19,True,False,False,False,True,False,False
13.78,True,False,False,21.0,False,False,False,True,False,False,False,False,4.69,1140.0,8.0,False,True,False,False,True,False,False,True,False,True,False,False,0.8,False,False,False,True,True,False,False
14.09,False,True,False,26.0,False,False,False,True,False,False,False,False,9.2,3721.0,21.0,False,True,False,False,True,False,True,False,False,False,True,False,0.16,True,False,False,False,False,True,False
